Brand,Product_price,Stars,ReviewsCount
ELECBRAiN,13.99,4.9,22
GELINTO,17.99,4.4,25
wonfurd,5.99,4.8,44
Lemorele,45.99,4.2,4754
BE•SELL,25.99,,
coowoz,14.99,,
SDYSM,29.99,4.7,30
HHamoyzs,15.99,4.2,182
Kensington,21.99,4.3,964
Sinaliy,39.99,4.5,659
Twelve South,49.68,4.8,826
SwissGear,63.99,4.6,404
Carhartt,,4.6,87
Amazon Basics,54.89,4.5,5471
Twelve South,59.99,4.8,2659
Pyle,32.99,4.3,1116
Twelve South,59.99,4.6,3555
Twelve South,77.59,4,115
Lowepro,229.99,4.7,4789
Dell,79.99,55,431
Lenovo,,4.7,3880
Amazon Basics,20.89,4.7,3533
JanSport,58.47,4.8,1865
Amazon Basics,18.57,4.5,11331
Victoriatourist,21.99,4.4,5282
RAINSMORE,35.99,4.2,19
MOKiN,28.79,4.3,538
LOVEVOOK,35.99,4.9,18
Focdod,25.99,4.7,19
Beraliy,39.99,4.7,1118
Dwavele,5.99,4.8,35
soonjet,23.99,4.5,82
VANKEAN,33.99,4.7,3420
KASANYER,,4.6,135
RAINSMORE,29.86,4.8,29
Teryeefi,,,
Sonix,55,3.7,22
MeityPinkty,4.99,,
UOROLBMY,39.99,4.5,1014
bagswan,,4.8,73
Ajiga,39.99,5,1
dokikalos,3.99,,
HSXIRQA,,,
FALANKO,49.99,4.8,9158
Jzbulo,7.99,,
CZSWMD,4.99,5,2
TOOREEY,5.99,,
SANYOM,8.99,,
Batianda,21.99,4.3,78
StarTech.com,159.99,,
TOOREEY,5.79,5,3
Generic,5.99,,
Lenovo,142.19,4.3,826
SwissGear,107.99,4.6,151
Plugable,199.95,4.8,16
Thermaltake,,4.3,4435
AAOIIXZ,5.99,4.6,36
YYOJ,20.85,4.6,3001
YOREPEK,38.99,4.7,42821
OMOTON,26.99,4.8,8555
Lenovo,51,4.4,797
VVB,29.99,4.4,54
Elvoes,17.99,4.6,11
ivanky,249.99,5,1
SEMYEIYO,7.99,4.4,30
MKLCCP,11.99,4.5,111
SCPTOD,5.99,4.3,28
Aslotech,29.98,4.8,7
tearplex,21.99,4.5,1503
COR Surf,114.97,4.6,437
MeityPinkty,5.99,5,1
Satechi,199.99,4.4,40
dokikalos,5.99,,
SUNSAIL,11.99,,
EVMILA,5.99,,
Hyttrolly,4.99,5,3
LIONWEI,55.99,4.4,2043
Kenneth Cole REACTION,55.06,4.6,5618
Generic,11.99,,
SYWUWV,19.99,,
TOBENONE,16.99,5,28
REHERO,6.99,4.8,7
SUTMDO,17.98,4.3,49
SwissGear,55.99,4.7,1825
pcnearty,7.99,4.6,257
Carhartt,89.99,4.7,5703
Yongerwy,15.99,,
Jaurney,5.49,4.6,24
Kipling,90.59,4.8,818
Lenovo,14.99,4.4,71
bergsalz,,4.4,30
ampoock,9.99,4.7,31
JMYUJX,5.99,,
BND,30.99,4.8,42
Generic,11.99,,
Gywyw,5.99,4.7,465
LOVEVOOK,32.99,4.8,78
LOVEVOOK,,5,8
Hyfant,22.99,4.2,717
KAKARIKO,3.99,4.8,807
Tuiklol,25.99,4.4,50
WAVLINK,49.99,,
FIEIL,13.99,4,1
HYZUO,25,4.3,1007
A AMANDA,36.99,4.2,161
HSXIRQA,79.99,4,1
Choliz,6.99,,
Emaks,70.99,4.1,5
newplenty,9.99,4.1,13
HODO,39.99,,
Jucoci,39.99,,
QIWENGO,5.99,,
AYODPE,5.99,,
CAMPLALA,18.98,4.5,2
MOYYI,25.99,,
SUNSAIL,11.99,,
newplenty,5.99,4.1,697
Tree House Studio,7.5,5,4
ZTHY,73.99,,
Vancropak,39.99,4.5,313
RKINC,9.99,3,2
Vvsialeek,,,
Bluboon,24.99,4.6,890
SlimQ,79.99,,
BANGE,49.99,,
Fcelery,3.99,,
UGXKNAE,74.99,,
NEWQ,27.99,4.3,25
TWSIT,19.99,,
MOSISO,27.99,4.7,92
Inateck,99.99,,
JGTM,31.99,,
SUNSAIL,,,
Espacio,49.99,,
Baggallini,130,4.3,28
THYMEIF,8.98,,
OUTER SPACE,47,,
RKINC,9.99,,
SUNSAIL,11.99,,
JUJUMAY,5.99,4.6,393
DTTO,29.99,,
ZOEGAA,109.99,4.2,336
LOVEVOOK,29.99,5,5
HotTopStar,69.99,5,1
Generic,7.99,,
YSHUNDA,35.87,,
Ruilezyo,,5,2
ZHIY,28.89,,
mCover,24.99,,
tomtoc,30.99,4.7,117
SZWMXH,5.99,,
HSXIRQA,119.99,,
King EBOYEE,13.98,,
Generic,32.99,,
Voova,24.99,4.7,4336
HOMIEE,29.99,4.5,3607
Vinpartsden,3.99,,
MOSISO,18.99,,
Generic,6.99,,
RENTF,5.99,5,2
i-Tensodo,20.99,,
lychee,79.99,,
OTAITEK,40.49,,
MUBUY-GOL,11.99,,
Tnglov,12,,
VVILANG,9.99,,
Smatree,54.99,4.7,14
MOSISO,35.99,,
TUMI,575,4.4,31
ANCBD,43.99,,
DRWATE,4.99,4.5,27
CQCEO,119.99,,
Thrcat,5.99,,
DekonO,21.99,,
JZZSIEY,5.99,5,1
FULLCOM,45.8,,
SIQITECHNO,20.99,,
Yebiseven,21.99,5,4
MOYYI,29.99,4.7,4
FAIME,,,
Govvep,9.98,,
ANVMSRO,14.99,,
Espacio,61.99,,
Dreem,48.88,4.5,108
HRTLSS,22.99,,
DGFTB,39.99,,
Cxassev,28.99,,
VIKTERM,,,
FULLCOM,45.8,,
AIWEE,14.19,,
Lauspuck,13.99,5,1
HYZUO,24.99,4.5,133
DGFTB,119.99,,
HODO,,,
Kipling,109,,
UTOTEBAG,,3.9,2
Smatree,45.99,,
FEIFANZHE,29.9,,
Gatycallaty,31.99,,
LCMOCICO,27.99,,
Dreamora,7.96,,
Thrcat,5.99,,
SERGA,,,
Bric dodo,5.95,,
ETESBAY,,,
SANISI,49.99,,
MOSISO,19.99,4,2775
Seorsok,20.99,4.5,8
LOVEVOOK,34.99,4.7,5
LOVEVOOK,42.99,4.7,5
YXKC,29.99,5,2
weradar,26.99,4.3,84
IBENZER,35.99,,
Generic,9.99,,
DGFTB,63.99,,
EVMILA,5.99,,
ANTIEE,55.99,4.4,216
Beddinginn,8.99,,
Hairao,24.69,5,2
Slumou,29,,
ivoler,15.99,4.7,19818
SlimQ,9.99,,
MOQIAN,4.99,,
XXQGOMG,14.99,,
Rassy and Massy,,,
MECCANIXITY,17.99,,
WEPLAN,32.99,4.6,3
Espacio,61.99,,
Fiohiof,25.99,,
XHST,4.99,2,1
ZTHY,82.99,,
SUYANGLIU,3.99,,
NEOREAL,27.99,5,4
ANVMSRO,19.99,,
JOTACT,,,
Saddhu,,,
TADAVAX,6.99,5,3
YINOVEEN,13.99,,
cbwuicz,32.99,,
WLJIAO,6.88,4.7,139
Tryhi,27.99,,
Lovvento,,,
Sherpani,135,4.6,558
BJSK,5.49,4.6,20
wassdins,39.99,4.8,14
PEHDPVS,109.89,,
DGFTB,46.99,,
Focdod,28.99,4.8,1353
VGOAL,35.99,3.9,25
Sherpani,120,,
UGXKNAE,45.99,,
MOSISO,15.99,4.8,29
HPDELGB,349.99,,
egiant,16.99,4.7,1227
Smatree,46,,
Sticky Brand,9.95,,
EFLAL,24.99,,
LIANKONG,4.99,,
AMCJJ,21.95,,
AKIT,14.97,4.4,288
CASETiFY,88,4.5,12
YINOVEEN,17.99,,
firstsweet,38.99,,
mCover,23.95,,
UGREEN,279.99,,
VGCUB,46.99,4.7,40
ZOEGAA,35.99,,
HOUTQPLE,13.99,4.5,32
ORI LONDON,99.95,,
COMACE,8.99,3.4,54
GYakeog,38.99,,
Espacio,,,
LOVEVOOK,38.99,4.8,13
Generic,6.99,,
LUNLOPIK,30.99,,
PEHDPVS,139.89,,
ZOEGAA,35.99,,
AYODPE,5.99,,
HAPLIVES,15.89,4.8,88
Yebiseven,21.99,4.3,19
Yebiseven,23.99,5,1
Swissdigital,59,,
Kazons,27.99,,
ANVMSRO,14.99,,
Yebiseven,21.99,4.5,10
Eiyikof,38.98,,
NLILITONG,89.99,,
SlimQ,19.99,,
Teryeefi,25.99,,
iDonzon,9.99,4.5,15
Bric dodo,5.95,,
Generic,,,
FULLCOM,44,,
Smatree,45.99,,
FULLCOM,51.9,,
MUBUY-GOL,7.99,1,1
KEANBOLL,11.99,,
MOSISO,21.99,,
HSXIRQA,29.99,3.7,8
GOHHME,14.99,,
URBANZA,45,,
HSXIRQA,49.99,,
TADAVAX,3.69,,
SANISI,49.99,,
Tryhi,27.99,,
Targus,118.85,,
HKY,39.99,,
Nobutaki,19.99,4.6,27
Aerkenga,39.99,,
COOLCOOLDE,4.99,,
ZUIYIJIANGNAN,4.99,,
AURUNHO,44.07,,
Kechup,3.99,,
DGFTB,66.88,,
GYakeog,36.99,,
UGXKNAE,55.99,,
INSAVANT,35.99,4.6,524
PEAK TOWN,9.99,,
VECAVE,29.99,4.5,434
BANAHALLS,7.99,5,2
Huiyuan,168,,
GinzaTravel,24.97,,
XinWoTuo,14.99,4.8,26
PEHDPVS,18.99,,
PIGBIT,3.99,4.3,29
QEYNIU,21.99,,
Amlanpin,22.99,4.5,2
GOLF SUPAGS,19.99,4.3,5
RAINYEAR make life easier,10.99,,
Coyoohouse,24.68,5,1
Hannah Choice,17.99,4.4,20
OBERSTER,23.39,,
XMBFZ,22.99,4.8,64
OMUMUO,59.99,4.8,13
Giq,92.99,4.3,1885
XYANFA,14.68,,
intpw,299.99,4,33
Himalayan Craft,49.99,,
ALAZA,31.99,5,4
Gurkha,49.99,,
CaSZLUTION,18.99,5,1
VNINE,29.99,,
Smart-Safe.com,49.99,,
XBFCDN,9.99,3.5,2
Quincry,29.99,5,2
Statik,34.99,,
Tymyp,19.99,,
GloryKylin,65.99,,
Dell,159,2.4,2
Anhstks,5.99,,
CAMPLALA,30.99,5,1
Smatree,45.99,1,1
VIKTERM,,5,1
LCMOCICO,18.99,5,2
Smatree,39.99,,
Generic,5.5,,
UGXKNAE,67.99,,
HXPKH,65.99,,
UGXKNAE,69.99,,
QEYNIU,38.99,,
DGFTB,68.99,,
PNGIF,5.99,,
DESEACO,7.99,4.3,711
HEABPY,9.99,3.3,3
SlimQ,9.99,,
Seorsok,23.99,4.9,13
ZINZ,19.99,4,1
Kinmac,,,
Dreamora,8.96,,
aspwas,20.79,,
PEAK TOWN,12.99,5,1
AstroX,19.99,,
HPDELGB,139.99,,
SDYSM,89.99,,
May Chen,26.99,4.4,199
LUBINJIWAI,79.99,,
FASNAHOK,29.99,5,3
GYXRAT,3.99,5,1
Smart-Safe.com,49.99,,
MUBUY-GOL,13.99,,
HADDEGIFT,6.99,,
AMCJJ,23.96,4.2,54
Rytaki,33.99,4.4,366
Se7enline,24.99,4.4,207
WODBAO,55.99,4,1
YXKC,39.99,,
DGFTB,44.99,,
ANCBD,72.99,,
GYakeog,28.99,4.2,9
PEHDPVS,109.89,,
ANTIEE,,,
XHGST,4.99,4.4,14
VEVOOD,59.99,,
WARWOLFTEAM,349,,
ARPAARPA,5.59,,
UGXKNAE,29.99,,
VNINE,24.99,,
ANCBD,45.99,,
King EBOYEE,28.98,,
YOUYUANLTD,75,5,2
PEHDPVS,179.89,,
XJchen,62.99,,
MIGHTY SKINS,20.01,,
HYZUO,18.99,4.7,580
TOTU,27.19,4.3,2253
ZURRAM,6.99,5,1
RKINC,9.99,,
KEANBOLL,21.99,,
Generic,22.99,5,2
CQCEO,78.99,,
AMCJJ,21.95,4,14
OBERSTER,55.79,,
LYNNYUKI,2.99,4.5,21
Ksriylm,19.99,,
VELEZ,,4.4,117
HPDELGB,99,,
Canftors,29.99,,
Icicrim,4.49,,
QYD,22.99,,
LCDOLED,175.99,,
TOTU,36.39,4.3,2253
OYZX,3.99,,
SUYANGLIU,3.99,,
ETRONIK,29.99,4.8,11
AYODPE,5.99,,
GBOLE,69,,
DMKAOLLK,16.99,,
Cloudstyle,9.99,,
MULS,75.99,,
